Label,WithinSectionID,AlleleCombo
Sub136 ISO-M-L,136,ISO-M-L
Sub137 ISO-P-S,137,ISO-P-S
Sub137 ISO-M-S,137,ISO-M-S
Sub137 ISO-M-M,137,ISO-M-M
Sub137 ISO-M-L,137,ISO-M-L
Sub138 ISO-P-S,138,ISO-P-S
Sub138 ISO-M-S,138,ISO-M-S
Sub138 ISO-M-M,138,ISO-M-M
Sub138 ISO-M-L,138,ISO-M-L
Sub139 ISO-P-S,139,ISO-P-S
Sub139 ISO-M-S,139,ISO-M-S
Sub139 ISO-M-M,139,ISO-M-M
Sub139 ISO-M-L,139,ISO-M-L
Sub140 ISO-P-S,140,ISO-P-S
Sub140 ISO-M-S,140,ISO-M-S
Sub140 ISO-M-M,140,ISO-M-M
Sub140 ISO-M-L,140,ISO-M-L
Sub141 ISO-P-S,141,ISO-P-S
Sub141 ISO-M-S,141,ISO-M-S
Sub141 ISO-M-M,141,ISO-M-M
Sub141 ISO-M-L,141,ISO-M-L
Sub142 ISO-P-S,142,ISO-P-S
Sub142 ISO-M-S,142,ISO-M-S
Sub142 ISO-M-M,142,ISO-M-M
Sub142 ISO-M-L,142,ISO-M-L
Sub143 ISO-P-S,143,ISO-P-S
Sub143 ISO-M-S,143,ISO-M-S
Sub143 ISO-M-M,143,ISO-M-M
Sub143 ISO-M-L,143,ISO-M-L
Sub144 ISO-P-S,144,ISO-P-S
Sub144 ISO-M-S,144,ISO-M-S
Sub144 ISO-M-M,144,ISO-M-M
Sub144 ISO-M-L,144,ISO-M-L
Sub145 ISO-P-S,145,ISO-P-S
Sub145 ISO-M-S,145,ISO-M-S
Sub145 ISO-M-M,145,ISO-M-M
Sub145 ISO-M-L,145,ISO-M-L
Sub146 ISO-P-S,146,ISO-P-S
Sub146 ISO-M-S,146,ISO-M-S
Sub146 ISO-M-M,146,ISO-M-M
Sub146 ISO-M-L,146,ISO-M-L
Sub147 ISO-P-S,147,ISO-P-S
Sub147 ISO-M-S,147,ISO-M-S
Sub147 ISO-M-M,147,ISO-M-M
Sub147 ISO-M-L,147,ISO-M-L
Sub148 ISO-P-S,148,ISO-P-S
Sub148 ISO-M-S,148,ISO-M-S
Sub148 ISO-M-M,148,ISO-M-M
Sub148 ISO-M-L,148,ISO-M-L
Sub149 ISO-P-S,149,ISO-P-S
Sub149 ISO-M-S,149,ISO-M-S
Sub149 ISO-M-M,149,ISO-M-M
Sub149 ISO-M-L,149,ISO-M-L
Sub150 ISO-P-S,150,ISO-P-S
Sub150 ISO-M-S,150,ISO-M-S
Sub150 ISO-M-M,150,ISO-M-M
Sub150 ISO-M-L,150,ISO-M-L
Sub151 ISO-P-S,151,ISO-P-S
Sub151 ISO-M-S,151,ISO-M-S
Sub151 ISO-M-M,151,ISO-M-M
