BFMO_ID,River,Zone,HYDSB,SEDSB,SEDSB_R,Watershed,subwatersh,budget_rat,gag_loc_LES,zone_LES,TOPOWAT_LES,HYDSB_LES30SB,BFMO L [m],Hybrid DA [m2],FTYPE,bufferwidth [ft],A [m2],DA=BufferDL*L*2 (both sides of the stream)
135,COB,2,40,604,563,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,2454.884709,30885,StreamRiver,50,74824.88592,490851.2517
143,MAP,2,71,1061,961,Blue Earth,Upper Maple,Map AB UG,AB,2,UM,29,3075.364394,61219.9115,StreamRiver,50,93737.10672,614915.4201
153,LES,2,24,164,178,Le Sueur,Upper Le Sueur,LS AB UG,AB,1,UL,18,2225.595582,72139.35484,StreamRiver,50,67836.15335,445005.166
154,COB,2,37,517,531,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,1863.390315,186339,StreamRiver,50,56796.13681,372582.6575
155,MAP,2,73,1065,922,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,1946.613209,48606.61765,StreamRiver,50,59332.77061,389222.9752
165,COB,2,33,439,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,579.7614686,57976.14686,StreamRiver,50,17671.12956,115922.6099
172,MAP,2,50,611,643,Le Sueur,Upper Maple,Map AB UG,AB,2,LO,25,1452.981978,33453,StreamRiver,50,44286.89069,290522.0029
191,COB,2,37,441,389,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,1172.748598,117275,StreamRiver,50,35745.37725,234489.6748
220,MAP,2,62,837,836,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,3595.91582,359592,StreamRiver,50,109603.5142,718999.0532
221,MAP,2,62,842,836,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,3572.402514,23023.7069,StreamRiver,50,108886.8286,714297.5959
227,MAP,2,50,611,643,Le Sueur,Upper Maple,Map AB UG,AB,2,LO,25,1383.78197,10868.47826,StreamRiver,50,42177.67443,276685.5443
235,COB,2,54,834,765,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,4791.398027,107003.1646,StreamRiver,50,146041.8119,958034.2859
238,COB,2,54,776,665,Le Sueur,Upper Cobb,Cobb Upper Cobb,AB,1,MC,27,5631.780486,563178,StreamRiver,50,171656.6692,1126067.75
243,COB,2,37,573,531,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,20127.92808,383102.649,StreamRiver,50,613499.248,4024555.067
251,COB,2,33,386,391,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,3087.572503,308757,StreamRiver,50,94109.2099,617356.417
257,MAP,2,62,862,837,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,67.15240169,6715.240169,StreamRiver,50,2046.805204,13427.04214
260,LES,2,1,83,45,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,UL,9,2270.441405,227044,CanalDitch,16.5,22837.00783,453972.0345
261,MAP,2,52,824,779,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,23,2109.358285,244350,StreamRiver,50,64293.24052,421763.6578
263,MAP,2,62,842,836,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,28,60.92999826,900,StreamRiver,50,1857.146347,12182.88004
267,MAP,2,50,750,727,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,25,958.008919,95800.8919,StreamRiver,50,29200.11185,191552.7337
269,MAP,2,71,923,922,Le Sueur,Upper Maple,Map AB UG,AB,2,UM,29,390.5991326,39059.91326,ArtificialPath,16.5,3928.802315,78099.82784
271,MAP,2,64,1084,909,Le Sueur,Upper Maple,Map AB UG,AB,1,UM,30,11563.89005,1156389,CanalDitch,16.5,116314.2317,2312185.938
272,COB,2,40,503,441,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,20,2664.016758,266402,CanalDitch,16.5,26795.74616,532666.954
303,LES,2,3,35,57,Le Sueur,Upper Le Sueur,LS AB UG,AB,2,LO,9,314.814886,31481.4886,ArtificialPath,16.5,3166.534049,62946.85868
304,COB,2,33,449,440,Le Sueur,Little Cobb,Cobb Little Cobb,AB,2,LC,17,1557.764642,155776,CanalDitch,16.5,15668.61988,311473.1709
