GeneID,MOsID,MOs,SedRed,Duck,Cost,sedbcr,duckbcr,SB574,HydroSB,Zone,watershed,coords_x1,coords_x2,ld0.0,ld0.1,ld0.2,ld0.3,ld0.4,ld0.5,ld0.6,ld0.7,ld0.8,ld0.9,ld1.0
87,168,TLMO,0.2489,0,216.8596,1.147747206,0,8,1,2,LES,178418.9802,2357785.078,0,0.114774721,0.229549441,0.344324162,0.459098882,0.573873603,0.688648324,0.803423044,0.918197765,1.032972485,1.147747206
88,169,TLMO,1.5341,0,629.0836,2.438626599,0,15,1,2,LES,178210.4701,2357523.13,0,0.24386266,0.48772532,0.73158798,0.97545064,1.2193133,1.463175959,1.707038619,1.950901279,2.194763939,2.438626599
89,171,TLMO,0.2177,0,89.2629,2.438863178,0,15,1,2,LES,180767.1111,2356767.665,0,0.243886318,0.487772636,0.731658953,0.975545271,1.219431589,1.463317907,1.707204225,1.951090543,2.19497686,2.438863178
90,172,TLMO,7.8609,0,6850.7199,1.147456051,0,8,1,2,LES,181598.117,2357797.673,0,0.114745605,0.22949121,0.344236815,0.45898242,0.573728025,0.68847363,0.803219235,0.91796484,1.032710446,1.147456051
91,173,TLMO,0.9881,0,405.1771,2.438686688,0,15,1,2,LES,180579.6479,2357223.143,0,0.243868669,0.487737338,0.731606006,0.975474675,1.219343344,1.463212013,1.707080682,1.95094935,2.194818019,2.438686688
92,174,TLMO,0.476,0,1028.0247,0.463023894,0,16,9,2,LES,182332.8183,2357162.891,0,0.046302389,0.092604779,0.138907168,0.185209558,0.231511947,0.277814337,0.324116726,0.370419115,0.416721505,0.463023894
93,175,TLMO,0.0285,0,19.4536,1.465024468,0,17,9,2,LES,184126.5111,2357657.713,0,0.146502447,0.293004894,0.439507341,0.586009787,0.732512234,0.879014681,1.025517128,1.172019575,1.318522022,1.465024468
94,176,TLMO,0.2921,0,630.9416,0.462958854,0,16,9,2,LES,182930.4612,2357052.21,0,0.046295885,0.092591771,0.138887656,0.185183542,0.231479427,0.277775312,0.324071198,0.370367083,0.416662968,0.462958854
95,177,TLMO,5.6833,0,3154.6242,1.801577506,0,17,9,2,LES,183547.2268,2357296.805,0,0.180157751,0.360315501,0.540473252,0.720631003,0.900788753,1.080946504,1.261104255,1.441262005,1.621419756,1.801577506
96,179,TLMO,1.0607,0,434.9565,2.438634668,0,15,1,2,LES,178385.2951,2356771.637,0,0.243863467,0.487726934,0.7315904,0.975453867,1.219317334,1.463180801,1.707044268,1.950907734,2.194771201,2.438634668
97,184,TLMO,0.0206,0,360.257,0.057181401,0,9,1,3,LES,173744.9636,2357019.345,0,0.00571814,0.01143628,0.01715442,0.02287256,0.028590701,0.034308841,0.040026981,0.045745121,0.051463261,0.057181401
98,185,TLMO,1.5925,0,787.3897,2.022505501,0,26,1,3,LES,173760.7113,2356730.192,0,0.20225055,0.4045011,0.60675165,0.809002201,1.011252751,1.213503301,1.415753851,1.618004401,1.820254951,2.022505501
99,193,TLMO,0.006,0,3.3359,1.798615066,0,17,9,2,LES,184730.0908,2356432.162,0,0.179861507,0.359723013,0.53958452,0.719446027,0.899307533,1.07916904,1.259030546,1.438892053,1.61875356,1.798615066
100,194,TLMO,0.0206,0,150.5388,0.136841798,0,13,1,3,LES,165298.8077,2357562.027,0,0.01368418,0.02736836,0.041052539,0.054736719,0.068420899,0.082105079,0.095789258,0.109473438,0.123157618,0.136841798
101,195,TLMO,0.0031,0,6.6718,0.464642225,0,16,9,2,LES,182645.0908,2356402.162,0,0.046464223,0.092928445,0.139392668,0.18585689,0.232321113,0.278785335,0.325249558,0.37171378,0.418178003,0.464642225
102,196,TLMO,0.8408,0,1063.9187,0.790285949,0,10,1,3,LES,166325.7516,2358276.442,0,0.079028595,0.15805719,0.237085785,0.31611438,0.395142975,0.47417157,0.553200165,0.63222876,0.711257355,0.790285949
103,197,TLMO,0.5452,0,3981.8305,0.136921951,0,13,1,3,LES,165885.2798,2357636.348,0,0.013692195,0.02738439,0.041076585,0.05476878,0.068460975,0.082153171,0.095845366,0.109537561,0.123229756,0.136921951
104,198,TLMO,0.0246,0,31.1375,0.790044159,0,10,1,3,LES,167720.2838,2356416.289,0,0.079004416,0.158008832,0.237013248,0.316017664,0.395022079,0.474026495,0.553030911,0.632035327,0.711039743,0.790044159
105,199,TLMO,0.0027,0,19.4507,0.138812485,0,13,1,3,LES,167624.7082,2356410.117,0,0.013881248,0.027762497,0.041643745,0.055524994,0.069406242,0.083287491,0.097168739,0.111049988,0.124931236,0.138812485
106,200,TLMO,0.0178,0,8.7802,2.027288672,0,26,1,3,LES,174108.6013,2356346.084,0,0.202728867,0.405457734,0.608186602,0.810915469,1.013644336,1.216373203,1.419102071,1.621830938,1.824559805,2.027288672
107,204,TLMO,2.0731,0,1496.7772,1.385042477,0,5,9,2,LES,191184.896,2357742.216,0,0.138504248,0.277008495,0.415512743,0.554016991,0.692521238,0.831025486,0.969529734,1.108033981,1.246538229,1.385042477
108,205,TLMO,0.0135,0,6.6718,2.02344195,0,26,1,3,LES,174185.0908,2356222.162,0,0.202344195,0.40468839,0.607032585,0.80937678,1.011720975,1.21406517,1.416409365,1.61875356,1.821097755,2.02344195
109,209,TLMO,7.034,0,2307.2392,3.048665262,0,20,9,2,LES,187440.5997,2357216.13,0,0.304866526,0.609733052,0.914599579,1.219466105,1.524332631,1.829199157,2.134065683,2.43893221,2.743798736,3.048665262
110,210,TLMO,28.3934,0,3391.3243,8.372363563,0,20,9,2,LES,187643.7782,2356790.345,0,0.837236356,1.674472713,2.511709069,3.348945425,4.186181782,5.023418138,5.860654494,6.69789085,7.535127207,8.372363563
111,211,TLMO,0.0059,0,4.2708,1.381474197,0,14,9,2,LES,189464.1416,2357232.809,0,0.13814742,0.276294839,0.414442259,0.552589679,0.690737098,0.828884518,0.967031938,1.105179357,1.243326777,1.381474197
112,212,TLMO,14.2304,0,4667.7617,3.048656061,0,14,9,2,LES,188970.1009,2356839.624,0,0.304865606,0.609731212,0.914596818,1.219462425,1.524328031,1.829193637,2.134059243,2.438924849,2.743790455,3.048656061
113,213,TLMO,6.5986,0,788.1381,8.372390575,0,20,9,2,LES,188683.364,2356292.809,0,0.837239057,1.674478115,2.511717172,3.34895623,4.186195287,5.023434345,5.860673402,6.69791246,7.535151517,8.372390575
114,217,TLMO,5.1163,0,1678.2167,3.048652775,0,14,9,2,LES,186326.5647,2356484.755,0,0.304865278,0.609730555,0.914595833,1.21946111,1.524326388,1.829191665,2.134056943,2.43892222,2.743787498,3.048652775
115,218,TLMO,3.6432,0,2022.2617,1.801547248,0,17,9,2,LES,185540.2859,2356413.171,0,0.180154725,0.36030945,0.540464174,0.720618899,0.900773624,1.080928349,1.261083073,1.441237798,1.621392523,1.801547248
116,219,TLMO,0.2546,0,92.5839,2.749938164,0,18,9,2,LES,186575.2212,2356114.823,0,0.274993816,0.549987633,0.824981449,1.099975266,1.374969082,1.649962899,1.924956715,2.199950531,2.474944348,2.749938164
117,220,TLMO,0.0686,0,38.0576,1.802530901,0,17,9,2,LES,185165.6555,2356046.483,0,0.18025309,0.36050618,0.54075927,0.72101236,0.90126545,1.08151854,1.26177163,1.44202472,1.62227781,1.802530901
