ID,Label,Cost,NitRed,SedRed
301,Sub050 ISO-M-L,907624.1093,3661.9531,723.1253
302,Sub051 ISO-P-S,308653.1681,1811.4914,145.0031
303,Sub051 ISO-P-M,915129.8169,2364.742,187.0352
304,Sub051 ISO-P-L,1521353.69,2364.742,187.0352
305,Sub051 ISO-M-S,231285.5221,1225.2626,99.623
306,Sub051 ISO-M-M,683026.879,1601.8556,125.9397
307,Sub051 ISO-M-L,1134515.46,1717.3797,139.1428
308,Sub052 ISO-P-S,199789.3485,590.4146,44.5112
309,Sub052 ISO-P-M,592764.3699,853.461,61.2259
310,Sub052 ISO-P-L,985585.2548,1020.7517,75.412
311,Sub052 ISO-M-S,152612.4699,506.1622,37.9718
312,Sub052 ISO-M-M,451233.7341,695.7844,50.4263
313,Sub052 ISO-M-L,749700.8618,823.3469,61.0556
314,Sub053 ISO-P-S,326295.1646,745.6962,82.9934
315,Sub053 ISO-P-M,968684.8385,745.6962,82.9934
316,Sub053 ISO-P-L,1610836.419,745.6962,82.9934
317,Sub053 ISO-M-S,253421.3446,719.8691,81.7677
318,Sub053 ISO-M-M,750063.3785,747.6192,72.0742
319,Sub053 ISO-M-L,1246467.319,738.0306,82.692
320,Sub054 ISO-P-S,202197.6274,795.4549,131.5151
321,Sub054 ISO-P-M,599751.5834,1410.9432,261.1635
322,Sub054 ISO-P-L,997145.8567,2051.7467,388.6635
323,Sub054 ISO-M-S,153323.1614,715.6364,119.4978
324,Sub054 ISO-M-M,453128.1853,1191.682,225.8647
325,Sub054 ISO-M-L,752773.5264,1646.6696,326.0175
326,Sub055 ISO-P-S,172499.317,1413.625,272.7142
327,Sub055 ISO-P-M,511428.3117,1692.3549,344.4446
328,Sub055 ISO-P-L,850215.635,1692.3549,344.4446
329,Sub055 ISO-M-S,129137.6123,1366.5855,261.1047
330,Sub055 ISO-M-M,381343.1974,1639.3074,331.7803
331,Sub055 ISO-M-L,633407.1112,1670.5418,338.8711
332,Sub056 ISO-P-S,366232.2674,1406.1284,240.164
333,Sub056 ISO-P-M,1085907.233,2348.7581,427.7606
334,Sub056 ISO-P-L,1805283.677,3317.3448,612.0258
335,Sub056 ISO-M-S,274863.1613,1290.719,225.1806
336,Sub056 ISO-M-M,811799.9147,2043.6778,388.2199
