"MOs","MOsID","Subbasin","SED_BCR","Duck_BCR","Zone","coords_x1","coords_x2","coords.x1","coords.x2","coords.x3","SED_BCR_DIST"
"WCMO",16039,"27",1.19091907,0.000558849,1,197792.542472924,2308799.46671392,197792.542472924,2308799.46671392,0,0.925090999999822
"WCMO",16029,"26",1.190024254,0.000587006,1,204622.920969012,2310583.79612282,204622.920969012,2310583.79612282,0,0.894816000000187
"WCMO",12402,"24",1.190006491,0.000629559,1,196512.71472998,2319110.4496206,196512.71472998,2319110.4496206,0,0.0177629999997819
"WCMO",12051,"26",1.188516926,0.000570494,1,207980.29283324,2318412.40937275,207980.29283324,2318412.40937275,0,1.48956500000019
"WCMO",14528,"28",1.187494658,0.000412867,1,182525.05021113,2311670.79626701,182525.05021113,2311670.79626701,0,1.02226799999983
"WCMO",3366,"9",1.187422942,0.000604046,2,185354.249849583,2341176.85427888,185354.249849583,2341176.85427888,0,0.0717160000001105
"WCMO",16418,"29",1.187339609,0.000646009,2,162233.97634192,2307360.80811936,162233.97634192,2307360.80811936,0,0.0833330000000743
"WCMO",9394,"24",1.187338712,0.000620296,1,196741.167573864,2327517.79675687,196741.167573864,2327517.79675687,0,0.00089699999983317
"WCMO",3893,"18",1.185924064,0.000531382,1,202414.993044143,2339433.73115261,202414.993044143,2339433.73115261,0,1.41464800000013
"WCMO",4698,"15",1.185878194,0.000361418,3,170606.497912855,2338506.02259802,170606.497912855,2338506.02259802,0,0.0458699999998924
"WCMO",4282,"17",1.18575502,0.000610261,2,187670.209062243,2337545.70043414,187670.209062243,2337545.70043414,0,0.123174000000059
"WCMO",14450,"29",1.185734699,0.000644454,2,156057.808218717,2312254.81615413,156057.808218717,2312254.81615413,0,0.0203210000000453
"WCMO",9431,"25",1.185703312,0.000460831,2,163210.76171441,2324933.63084764,163210.76171441,2324933.63084764,0,0.0313869999999383
"WCMO",15399,"30",1.185444198,0.000443577,1,165682.425579594,2310911.20593109,165682.425579594,2310911.20593109,0,0.259114000000116
"WCMO",15323,"28",1.184963286,0.000594201,1,173771.481061281,2310200.35064385,173771.481061281,2310200.35064385,0,0.480912
"WCMO",12763,"27",1.184654162,0.000550654,1,191681.254674063,2316313.57725816,191681.254674063,2316313.57725816,0,0.309123999999938
"WCMO",15604,"27",1.18442546,0.000371908,1,199748.202048402,2308712.14894285,199748.202048402,2308712.14894285,0,0.228702000000025
"WCMO",12302,"24",1.184084346,0.000364069,1,204480.986638517,2319998.46959267,204480.986638517,2319998.46959267,0,0.341114000000031
"WCMO",12392,"24",1.184000566,0.000314472,1,199078.676399321,2320591.84674194,199078.676399321,2320591.84674194,0,0.0837799999999778
"WCMO",7635,"20",1.183140463,0.000617917,2,187248.465795977,2329744.7043601,187248.465795977,2329744.7043601,0,0.860102999999945
"WCMO",4396,"15",1.183124438,0.000326853,3,177190.493189255,2338103.98239618,177190.493189255,2338103.98239618,0,0.0160250000000861
"WCMO",5313,"18",1.183116265,0.000533195,1,209612.241003672,2336548.35254387,209612.241003672,2336548.35254387,0,0.00817299999988919
"WCMO",12124,"27",1.182726345,0.00039599,1,193796.230708452,2317726.06119436,193796.230708452,2317726.06119436,0,0.389919999999933
"WCMO",10026,"24",1.18265723,0.000617788,1,199598.611249705,2323832.61771044,199598.611249705,2323832.61771044,0,0.069115000000064
"WCMO",1444,"10",1.181962105,0.000495569,3,173630.057929335,2347562.083466,173630.057929335,2347562.083466,0,0.695125000000019
"WCMO",18372,"27",1.181522537,0.000574658,1,195100.707580638,2303947.01495452,195100.707580638,2303947.01495452,0,0.439568000000001
