ID,Generation,Outlet.Sediment,SedRed,Duck,Cost,sedbcr,duckbcr,Type,lambdaSedBcr0,lambdaSedBcr0.1,lambdaSedBcr0.2,lambdaSedBcr0.3,lambdaSedBcr0.4,lambdaSedBcr0.5,lambdaSedBcr0.6,lambdaSedBcr0.7,lambdaSedBcr0.8,lambdaSedBcr0.9,lambdaSedBcr1
145,-1,211244.978,5.466,0,3034.0215,1.801569303,0,TLMO Reduced 145,0,0.18015693,0.360313861,0.540470791,0.720627721,0.900784652,1.080941582,1.261098512,1.441255443,1.621412373,1.801569303
146,-1,211249.721,0.723,0,262.9269,2.749813731,0,TLMO Reduced 146,0,0.274981373,0.549962746,0.824944119,1.099925493,1.374906866,1.649888239,1.924869612,2.199850985,2.474832358,2.749813731
147,-1,211248.5178,1.9262,0,833.9279,2.30979201,0,TLMO Reduced 147,0,0.230979201,0.461958402,0.692937603,0.923916804,1.154896005,1.385875206,1.616854407,1.847833608,2.078812809,2.30979201
148,-1,211249.5225,0.9215,0,1947.6911,0.473124306,0,TLMO Reduced 148,0,0.047312431,0.094624861,0.141937292,0.189249722,0.236562153,0.283874584,0.331187014,0.378499445,0.425811875,0.473124306
149,-1,211250.4374,0.0066,0,114.8625,0.057460007,0,TLMO Reduced 149,0,0.005746001,0.011492001,0.017238002,0.022984003,0.028730003,0.034476004,0.040222005,0.045968005,0.051714006,0.057460007
150,-1,211246.9921,3.4519,0,793.5795,4.349784741,0,TLMO Reduced 150,0,0.434978474,0.869956948,1.304935422,1.739913896,2.174892371,2.609870845,3.044849319,3.479827793,3.914806267,4.349784741
151,-1,211249.0201,1.4239,0,1970.33,0.722670822,0,TLMO Reduced 151,0,0.072267082,0.144534164,0.216801246,0.289068329,0.361335411,0.433602493,0.505869575,0.578136657,0.650403739,0.722670822
152,-1,211249.3919,1.0521,0,520.2208,2.022410484,0,TLMO Reduced 152,0,0.202241048,0.404482097,0.606723145,0.808964194,1.011205242,1.21344629,1.415687339,1.617928387,1.820169436,2.022410484
153,-1,211249.4109,1.0331,0,1429.5827,0.722658437,0,TLMO Reduced 153,0,0.072265844,0.144531687,0.216797531,0.289063375,0.361329219,0.433595062,0.505860906,0.57812675,0.650392594,0.722658437
154,-1,211250.402,0.042,0,90.658,0.463279578,0,TLMO Reduced 154,0,0.046327958,0.092655916,0.138983873,0.185311831,0.231639789,0.277967747,0.324295705,0.370623663,0.41695162,0.463279578
