ld,Name_str,mean,std,q25,q50,q75
lambda0.4,BS,1165.6211391442228,16804.49145216734,1.8364772002153449,5.184816099805411,30.532208061581535
lambda0.4,BS+CC,529.2124145243515,7629.533471557058,0.8337928171570609,2.35399732803169,13.862157270837036
lambda0.4,BS+CC+FM,468.72796630039113,6757.54311462614,0.7384974365220976,2.0849555867591585,12.277831373127498
lambda0.4,BS+FM,529.2213561061625,7629.662380282261,0.8338069049344496,2.3540371012099337,13.862391486078259
lambda0.4,BS+GW,642.4658093907025,9262.281576449692,1.0122275336651536,2.857761377379483,16.82870969479066
lambda0.4,BS+GW+CC,446.74914411096427,6440.679498132275,0.7038690272706106,1.9871912726818015,11.702119463399445
lambda0.4,BS+GW+CC+FM,399.80231870050386,5763.857930795507,0.6299026486648683,1.7783664255263913,10.472397220788718
lambda0.4,BS+GW+FM,413.64657433084454,5963.447375074524,0.6517147615077585,1.8399472574721054,10.835032796936236
lambda0.4,CC,438.80126538911895,6326.096761461786,0.6913468641315123,1.9518381993954153,11.4939332194868
lambda0.4,CC+FM,377.81164165820957,5446.823405618714,0.5952555616747293,1.680549379708037,9.896374785777514
lambda0.4,FM,61.69089555581878,889.3834301987869,0.09719618094118104,0.27440815694545145,1.6159275045392794
lambda0.4,GW,74.35585799752286,1071.9712762375866,0.11715027578785575,0.3307433579520049,1.9476727478059894
lambda0.4,GW+CC,327.25377712017513,4717.942319013691,0.5155998636115976,1.455662217640067,8.572065207488775
lambda0.4,GW+CC+FM,286.16861307350297,4125.626973274419,0.4508687391450187,1.2729107104318762,7.495882960280927
lambda0.4,GW+FM,63.90050675706489,921.2388858841675,0.10067750129146935,0.284236760207522,1.673805923749469
lambda0.4,NCMO,1405.4445274800523,20261.969996420656,2.214327403824802,6.251577951659261,36.814127070084425
lambda0.4,RAMO,14267.019490788214,205684.33346779886,22.478192210118,63.461333934270684,373.7094265733695
lambda0.4,Sub ISO-M-L,598.4099501584129,8627.138402544633,0.9428159741979005,2.6617958783271565,15.67471324153521
lambda0.4,Sub ISO-M-M,690.4989955691775,9954.764956726389,1.0879055119619714,3.071418481441571,18.08688800420139
lambda0.4,Sub ISO-M-S,834.033233863525,12024.065005867202,1.314048764881504,3.7098751845588605,21.846614968986128
