Subbasin,Label,Practices,Select,subbasin
Sub064,Sub064 ISO-P-S, ISO-P-S,1,64
Sub064,Sub064 ISO-P-M, ISO-P-M,1,64
Sub064,Sub064 ISO-P-L, ISO-P-L,1,64
Sub064,Sub064 ISO-M-S, ISO-M-S,0,64
Sub064,Sub064 ISO-M-M, ISO-M-M,1,64
Sub064,Sub064 ISO-M-L, ISO-M-L,1,64
Sub065,Sub065 ISO-P-S, ISO-P-S,0,65
Sub065,Sub065 ISO-P-M, ISO-P-M,1,65
Sub065,Sub065 ISO-P-L, ISO-P-L,0,65
Sub065,Sub065 ISO-M-S, ISO-M-S,1,65
Sub065,Sub065 ISO-M-M, ISO-M-M,1,65
Sub065,Sub065 ISO-M-L, ISO-M-L,1,65
Sub066,Sub066 ISO-P-S, ISO-P-S,0,66
Sub066,Sub066 ISO-P-M, ISO-P-M,0,66
Sub066,Sub066 ISO-P-L, ISO-P-L,1,66
Sub066,Sub066 ISO-M-S, ISO-M-S,1,66
Sub066,Sub066 ISO-M-M, ISO-M-M,0,66
Sub066,Sub066 ISO-M-L, ISO-M-L,0,66
Sub067,Sub067 ISO-P-S, ISO-P-S,1,67
Sub067,Sub067 ISO-P-M, ISO-P-M,1,67
Sub067,Sub067 ISO-P-L, ISO-P-L,1,67
Sub067,Sub067 ISO-M-S, ISO-M-S,1,67
Sub067,Sub067 ISO-M-M, ISO-M-M,0,67
Sub067,Sub067 ISO-M-L, ISO-M-L,1,67
Sub068,Sub068 ISO-P-S, ISO-P-S,0,68
Sub068,Sub068 ISO-P-M, ISO-P-M,0,68
Sub068,Sub068 ISO-P-L, ISO-P-L,0,68
Sub068,Sub068 ISO-M-S, ISO-M-S,1,68
Sub068,Sub068 ISO-M-M, ISO-M-M,1,68
Sub068,Sub068 ISO-M-L, ISO-M-L,0,68
Sub069,Sub069 ISO-P-S, ISO-P-S,1,69
Sub069,Sub069 ISO-P-M, ISO-P-M,1,69
Sub069,Sub069 ISO-P-L, ISO-P-L,1,69
Sub069,Sub069 ISO-M-S, ISO-M-S,0,69
Sub069,Sub069 ISO-M-M, ISO-M-M,1,69
Sub069,Sub069 ISO-M-L, ISO-M-L,1,69
Sub070,Sub070 ISO-P-S, ISO-P-S,0,70
Sub070,Sub070 ISO-P-M, ISO-P-M,1,70
Sub070,Sub070 ISO-P-L, ISO-P-L,1,70
Sub070,Sub070 ISO-M-S, ISO-M-S,1,70
Sub070,Sub070 ISO-M-M, ISO-M-M,1,70
Sub070,Sub070 ISO-M-L, ISO-M-L,1,70
Sub071,Sub071 ISO-P-S, ISO-P-S,0,71
Sub071,Sub071 ISO-P-M, ISO-P-M,1,71
Sub071,Sub071 ISO-P-L, ISO-P-L,0,71
Sub071,Sub071 ISO-M-S, ISO-M-S,0,71
Sub071,Sub071 ISO-M-M, ISO-M-M,1,71
Sub071,Sub071 ISO-M-L, ISO-M-L,1,71
Sub072,Sub072 ISO-P-S, ISO-P-S,1,72
Sub072,Sub072 ISO-P-M, ISO-P-M,0,72
Sub072,Sub072 ISO-P-L, ISO-P-L,1,72
Sub072,Sub072 ISO-M-S, ISO-M-S,1,72
Sub072,Sub072 ISO-M-M, ISO-M-M,0,72
Sub072,Sub072 ISO-M-L, ISO-M-L,0,72
Sub073,Sub073 ISO-P-S, ISO-P-S,1,73
Sub073,Sub073 ISO-P-M, ISO-P-M,0,73
Sub073,Sub073 ISO-P-L, ISO-P-L,1,73
Sub073,Sub073 ISO-M-S, ISO-M-S,0,73
Sub073,Sub073 ISO-M-M, ISO-M-M,1,73
Sub073,Sub073 ISO-M-L, ISO-M-L,1,73
Sub074,Sub074 ISO-P-S, ISO-P-S,1,74
Sub074,Sub074 ISO-P-M, ISO-P-M,0,74
Sub074,Sub074 ISO-P-L, ISO-P-L,0,74
Sub074,Sub074 ISO-M-S, ISO-M-S,1,74
Sub074,Sub074 ISO-M-M, ISO-M-M,0,74
