ID,Label,Genome section,Cost,NitRed,SedRed,WithinSectionID,AlleleCombo
3917,Sub069 InC-M500,subInC,1153479.776,0,0,69,InC-M500
3918,Sub069 InC-M1000,subInC,2302831.656,0,0,69,InC-M1000
3919,Sub069 InC-M2000,subInC,4600476.076,0,0,69,InC-M2000
3920,Sub070 InC-P25,subInC,70376.5284,0,0,70,InC-P25
3921,Sub070 InC-P50,subInC,140753.0568,0,0,70,InC-P50
3922,Sub070 InC-P250,subInC,703765.2838,0,0,70,InC-P250
3923,Sub070 InC-P500,subInC,1383951.4,0,0,70,InC-P500
3924,Sub070 InC-P1000,subInC,2763774.904,0,0,70,InC-P1000
3925,Sub070 InC-P2000,subInC,5522362.57,0,0,70,InC-P2000
3926,Sub070 InC-M25,subInC,58852.9472,0,0,70,InC-M25
3927,Sub070 InC-M50,subInC,117705.8944,0,0,70,InC-M50
3928,Sub070 InC-M250,subInC,588529.472,0,0,70,InC-M250
3929,Sub070 InC-M500,subInC,1153479.776,0,0,70,InC-M500
3930,Sub070 InC-M1000,subInC,2302831.656,0,0,70,InC-M1000
3931,Sub070 InC-M2000,subInC,4600476.076,0,0,70,InC-M2000
3932,Sub071 InC-P25,subInC,70376.5284,0,0,71,InC-P25
3933,Sub071 InC-P50,subInC,140753.0568,0,0,71,InC-P50
3934,Sub071 InC-P250,subInC,703765.2838,0,0,71,InC-P250
3935,Sub071 InC-P500,subInC,1383951.4,0,0,71,InC-P500
3936,Sub071 InC-P1000,subInC,2763774.904,0,0,71,InC-P1000
3937,Sub071 InC-P2000,subInC,5522362.57,0,0,71,InC-P2000
3938,Sub071 InC-M25,subInC,58852.9472,0,0,71,InC-M25
3939,Sub071 InC-M50,subInC,117705.8944,0,0,71,InC-M50
3940,Sub071 InC-M250,subInC,588529.472,0,0,71,InC-M250
3941,Sub071 InC-M500,subInC,1153479.776,0,0,71,InC-M500
3942,Sub071 InC-M1000,subInC,2302831.656,0,0,71,InC-M1000
3943,Sub071 InC-M2000,subInC,4600476.076,0,0,71,InC-M2000
3944,Sub072 InC-P25,subInC,69784.8781,0,0,72,InC-P25
3945,Sub072 InC-P50,subInC,139569.7563,0,0,72,InC-P50
3946,Sub072 InC-P250,subInC,697848.7815,0,0,72,InC-P250
3947,Sub072 InC-P500,subInC,1372118.395,0,0,72,InC-P500
3948,Sub072 InC-P1000,subInC,2740108.894,0,0,72,InC-P1000
3949,Sub072 InC-P2000,subInC,5475030.552,0,0,72,InC-P2000
