Label,Practice,subbasin,HRU
Sub090 ISO-P-L, ISO-P-L,90,0
Sub090 ISO-M-S, ISO-M-S,90,0
Sub090 ISO-M-M, ISO-M-M,90,0
Sub090 ISO-M-L, ISO-M-L,90,0
Sub091 ISO-P-S, ISO-P-S,91,0
Sub091 ISO-P-M, ISO-P-M,91,0
Sub091 ISO-P-L, ISO-P-L,91,0
Sub091 ISO-M-S, ISO-M-S,91,0
Sub091 ISO-M-M, ISO-M-M,91,0
Sub091 ISO-M-L, ISO-M-L,91,0
Sub092 ISO-P-S, ISO-P-S,92,0
Sub092 ISO-P-M, ISO-P-M,92,0
Sub092 ISO-P-L, ISO-P-L,92,0
Sub092 ISO-M-S, ISO-M-S,92,0
Sub092 ISO-M-M, ISO-M-M,92,0
Sub092 ISO-M-L, ISO-M-L,92,0
Sub093 ISO-P-S, ISO-P-S,93,0
Sub093 ISO-P-M, ISO-P-M,93,0
Sub093 ISO-P-L, ISO-P-L,93,0
Sub093 ISO-M-S, ISO-M-S,93,0
