Label,ld0.0top10,ld0.0top30,ld0.0top60,ld0.5top10,ld0.5top30,ld0.5top60,ld1.0top10,ld1.0top30,ld1.0top60
Sub064 ISO-M-M,0,0,0,0,0,0,0,0,0
Sub064 ISO-M-L,0,0,0,0,0,0,0,0,0
Sub065 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub065 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub065 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub065 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub065 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub065 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub066 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub066 ISO-P-M,0,0,0,0,0,0,0,0,0
Sub066 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub066 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub066 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub066 ISO-M-L,0,0,0,0,0,0,0,0,0
Sub067 ISO-P-S,0,0,0,0,0,0,0,0,0
Sub067 ISO-P-M,0,0,0,0,0,0,0,0,0
Sub067 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub067 ISO-M-S,0,0,0,0,0,0,0,0,0
Sub067 ISO-M-M,0,0,0,0,0,0,0,0,0
Sub067 ISO-M-L,0,0,0,0,0,0,0,0,0
Sub068 ISO-P-S,0,0,0,0,0,0,0,0,0
Sub068 ISO-P-M,0,0,0,0,0,0,0,0,0
Sub068 ISO-P-L,0,0,0,0,0,0,0,0,0
Sub068 ISO-M-S,0,0,0,0,0,0,0,0,0
Sub068 ISO-M-M,0,0,0,0,0,0,0,0,0
Sub068 ISO-M-L,0,0,0,0,0,0,0,0,0
Sub069 ISO-P-S,0,0,0,0,0,0,0,1,1
Sub069 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub069 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub069 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub069 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub069 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub070 ISO-P-S,0,0,0,0,0,0,0,1,1
Sub070 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub070 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub070 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub070 ISO-M-M,0,0,0,0,0,0,0,1,1
Sub070 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub071 ISO-P-S,0,0,0,0,0,0,0,1,1
Sub071 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub071 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub071 ISO-M-S,0,0,0,0,0,0,0,1,1
Sub071 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub071 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub072 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub072 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub072 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub072 ISO-M-S,0,0,0,0,0,0,1,1,1
Sub072 ISO-M-M,0,0,0,0,0,0,0,0,1
Sub072 ISO-M-L,0,0,0,0,0,0,0,0,1
Sub073 ISO-P-S,0,0,0,0,0,0,0,0,1
Sub073 ISO-P-M,0,0,0,0,0,0,0,0,1
Sub073 ISO-P-L,0,0,0,0,0,0,0,0,1
Sub073 ISO-M-S,0,0,0,0,0,0,0,0,1
Sub073 ISO-M-M,0,0,0,0,0,0,0,0,1
